Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
CHC,NL,1967,702,624,87,0.316,0.37799999999999995,0.251,0,,,162,,
MIL,NL,2007,801,776,83,0.32899999999999996,0.456,0.262,0,,,162,0.33299999999999996,0.42200000000000004
DET,AL,1977,714,751,74,0.318,0.41,0.264,0,,,162,,
KCR,AL,1987,715,691,83,0.32799999999999996,0.41200000000000003,0.262,0,,,162,,
HOU,NL,2012,583,794,55,0.302,0.371,0.23600000000000002,0,,,162,0.337,0.42700000000000005
NYM,NL,2005,722,648,83,0.322,0.41600000000000004,0.258,0,,,162,0.321,0.387
CIN,NL,2009,673,723,78,0.318,0.39399999999999996,0.247,0,,,162,0.33299999999999996,0.418
SDP,NL,1987,668,763,65,0.332,0.37799999999999995,0.26,0,,,162,,
HOU,NL,2006,735,719,82,0.332,0.409,0.255,0,,,162,0.319,0.42100000000000004
STL,NL,1990,599,698,70,0.32,0.358,0.256,0,,,162,,
CIN,NL,1980,707,670,89,0.327,0.386,0.262,0,,,163,,
ATL,NL,1979,669,763,66,0.318,0.377,0.256,0,,,160,,
BOS,AL,1997,851,857,78,0.35200000000000004,0.46299999999999997,0.29100000000000004,0,,,162,,
PHI,NL,1966,696,640,87,0.322,0.37799999999999995,0.258,0,,,162,,
BAL,AL,1974,659,612,91,0.322,0.37,0.256,1,2,3,162,,
KCR,AL,2003,836,867,83,0.336,0.42700000000000005,0.27399999999999997,0,,,162,0.348,0.45
TEX,AL,2008,901,967,79,0.354,0.462,0.28300000000000003,0,,,162,0.36200000000000004,0.455
CHW,AL,2003,791,715,86,0.331,0.446,0.263,0,,,162,0.322,0.40399999999999997
DET,AL,1985,729,688,84,0.318,0.424,0.253,0,,,161,,
BOS,AL,1982,753,713,89,0.34,0.40700000000000003,0.27399999999999997,0,,,162,,
BAL,AL,1979,757,582,102,0.336,0.419,0.261,1,1,2,159,,
HOU,NL,1968,510,588,72,0.298,0.317,0.231,0,,,162,,
STL,NL,1975,662,689,82,0.327,0.375,0.273,0,,,163,,
CHC,NL,1974,669,826,66,0.327,0.365,0.251,0,,,162,,
CHW,AL,1992,738,690,86,0.336,0.38299999999999995,0.261,0,,,162,,
BAL,AL,2000,794,913,74,0.341,0.435,0.272,0,,,162,0.35200000000000004,0.449
LAD,NL,1992,548,636,63,0.313,0.33899999999999997,0.248,0,,,162,,
MIN,AL,2001,771,766,85,0.337,0.433,0.272,0,,,162,0.325,0.43700000000000006
MON,NL,1979,701,581,95,0.319,0.408,0.264,0,,,160,,
MON,NL,1983,677,646,82,0.326,0.386,0.264,0,,,163,,
WSA,AL,1962,599,716,60,0.308,0.373,0.25,0,,,162,,
BOS,AL,1967,722,614,92,0.321,0.395,0.255,1,2,2,162,,
STL,NL,1969,595,540,87,0.316,0.359,0.253,0,,,162,,
PIT,NL,1968,583,532,80,0.306,0.34299999999999997,0.252,0,,,163,,
CHW,AL,2006,868,794,90,0.342,0.46399999999999997,0.28,0,,,162,0.326,0.44
CHW,AL,1989,693,750,69,0.32799999999999996,0.38299999999999995,0.271,0,,,161,,
CAL,AL,1966,604,643,80,0.303,0.354,0.23199999999999998,0,,,162,,
SDP,NL,1997,795,891,76,0.342,0.40700000000000003,0.271,0,,,162,,
LAD,NL,1975,648,534,88,0.325,0.365,0.248,0,,,162,,
LAD,NL,1979,739,717,79,0.331,0.41200000000000003,0.263,0,,,162,,
ATL,NL,2004,803,668,96,0.34299999999999997,0.434,0.27,1,4,4,162,0.32899999999999996,0.4
COL,NL,1997,923,908,83,0.35700000000000004,0.478,0.28800000000000003,0,,,162,,
TEX,AL,2003,826,969,71,0.33,0.45399999999999996,0.266,0,,,162,0.36,0.473
BOS,AL,1975,796,709,95,0.344,0.41700000000000004,0.275,1,3,2,160,,
BOS,AL,1971,691,667,85,0.322,0.397,0.252,0,,,162,,
MIN,AL,1974,673,669,82,0.336,0.37799999999999995,0.272,0,,,163,,
PIT,NL,1996,776,833,73,0.32899999999999996,0.40700000000000003,0.266,0,,,162,,
CHW,AL,1991,758,681,87,0.336,0.391,0.262,0,,,162,,
CHW,AL,1971,617,597,79,0.325,0.373,0.25,0,,,162,,
CHC,NL,1980,614,728,64,0.309,0.365,0.251,0,,,162,,
HOU,NL,1965,569,711,65,0.305,0.34,0.237,0,,,162,,
SFG,NL,1998,845,739,89,0.353,0.42100000000000004,0.27399999999999997,0,,,163,,
TEX,AL,2000,848,974,71,0.35200000000000004,0.446,0.28300000000000003,0,,,162,0.369,0.475
CAL,AL,1977,675,695,74,0.324,0.386,0.255,0,,,162,,
OAK,AL,1998,804,866,74,0.33799999999999997,0.397,0.257,0,,,162,,
OAK,AL,1985,757,787,77,0.325,0.401,0.264,0,,,162,,
CLE,AL,1976,615,615,81,0.321,0.359,0.263,0,,,159,,
FLA,NL,2005,717,732,83,0.33899999999999997,0.409,0.272,0,,,162,0.33899999999999997,0.402
SDP,NL,1991,636,646,84,0.31,0.36200000000000004,0.244,0,,,162,,
PIT,NL,1974,751,657,88,0.335,0.391,0.27399999999999997,1,4,3,162,,
CHW,AL,1970,633,822,56,0.315,0.36200000000000004,0.253,0,,,162,,
HOU,NL,1963,464,640,66,0.28300000000000003,0.301,0.22,0,,,162,,
CHW,AL,1990,682,633,94,0.32,0.379,0.258,0,,,162,,
LAD,NL,1974,798,561,102,0.342,0.401,0.272,1,1,2,162,,
CLE,AL,1993,790,813,76,0.335,0.409,0.275,0,,,162,,
PIT,NL,1992,693,595,96,0.324,0.381,0.255,1,2,3,162,,
TOR,AL,1984,750,696,89,0.331,0.42100000000000004,0.273,0,,,163,,
CHW,AL,1968,463,527,67,0.284,0.311,0.228,0,,,162,,
TEX,AL,1974,690,698,83,0.336,0.377,0.272,0,,,161,,
CLE,AL,1963,635,702,79,0.301,0.381,0.239,0,,,162,,
MON,NL,1991,579,655,71,0.308,0.35700000000000004,0.24600000000000002,0,,,161,,
DET,AL,1962,758,692,85,0.33,0.41100000000000003,0.248,0,,,161,,
ATL,NL,2000,810,714,95,0.34600000000000003,0.429,0.271,1,2,4,162,0.319,0.402
CHC,NL,1983,701,719,71,0.319,0.401,0.261,0,,,162,,
CIN,NL,2012,669,588,97,0.315,0.41100000000000003,0.251,1,2,4,162,0.305,0.39
DET,AL,1966,719,698,88,0.321,0.406,0.251,0,,,162,,
ATL,NL,1998,826,581,106,0.342,0.45299999999999996,0.272,1,2,3,162,,
PIT,NL,1970,729,664,89,0.325,0.406,0.27,1,4,3,162,,
CAL,AL,1965,527,569,75,0.297,0.341,0.239,0,,,162,,
OAK,AL,2005,772,658,88,0.33,0.40700000000000003,0.262,0,,,162,0.311,0.382
ARI,NL,2006,773,788,76,0.331,0.424,0.267,0,,,162,0.335,0.431
KCR,AL,2000,879,930,77,0.348,0.425,0.28800000000000003,0,,,162,0.36200000000000004,0.474
MON,NL,1982,697,616,86,0.325,0.396,0.262,0,,,162,,
MIL,AL,1988,682,616,87,0.314,0.375,0.257,0,,,162,,
BAL,AL,2001,687,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439
PIT,NL,1985,568,708,57,0.311,0.34700000000000003,0.247,0,,,161,,
CAL,AL,1990,690,706,80,0.32899999999999996,0.391,0.26,0,,,162,,
CLE,AL,1978,639,694,69,0.32299999999999995,0.379,0.261,0,,,159,,
NYM,NL,1965,495,752,50,0.27699999999999997,0.327,0.221,0,,,164,,
CLE,AL,2005,790,642,93,0.33399999999999996,0.45299999999999996,0.271,0,,,162,0.302,0.387
TEX,AL,1973,619,844,57,0.318,0.361,0.255,0,,,162,,
SFG,NL,1988,670,626,83,0.318,0.368,0.248,0,,,162,,
KCA,AL,1964,621,836,57,0.311,0.379,0.239,0,,,163,,
MON,NL,1971,622,729,71,0.322,0.34299999999999997,0.24600000000000002,0,,,162,,
BAL,AL,1963,644,621,86,0.31,0.38,0.249,0,,,162,,
CIN,NL,1962,802,685,98,0.332,0.41700000000000004,0.27,0,,,162,,
TOR,AL,1987,845,655,96,0.336,0.446,0.26899999999999996,0,,,162,,
KCR,AL,2007,706,778,69,0.322,0.38799999999999996,0.261,0,,,162,0.33899999999999997,0.445
HOU,NL,2004,803,698,92,0.342,0.436,0.267,1,6,3,162,0.32799999999999996,0.41700000000000004
OAK,AL,1982,691,819,68,0.309,0.36700000000000005,0.23600000000000002,0,,,162,,
BAL,AL,1966,755,601,97,0.324,0.409,0.258,1,1,1,160,,
PHI,NL,1990,646,729,77,0.327,0.363,0.255,0,,,162,,
WSA,AL,1963,578,812,56,0.293,0.35100000000000003,0.22699999999999998,0,,,162,,
OAK,AL,2010,663,626,81,0.324,0.37799999999999995,0.256,0,,,162,0.313,0.379
HOU,NL,2007,723,813,73,0.33,0.41200000000000003,0.26,0,,,162,0.337,0.45399999999999996
MIN,AL,2011,619,804,63,0.306,0.36,0.247,0,,,162,0.34,0.435
DET,AL,2011,787,711,95,0.34,0.434,0.27699999999999997,1,4,3,162,0.321,0.396
SEA,AL,2006,756,792,78,0.325,0.424,0.272,0,,,162,0.337,0.43200000000000005
BOS,AL,2007,867,657,96,0.36200000000000004,0.444,0.27899999999999997,1,1,1,162,0.314,0.392
LAD,NL,2001,758,744,86,0.32299999999999995,0.425,0.255,0,,,162,0.32299999999999995,0.41100000000000003
CHC,NL,1986,680,781,70,0.318,0.39799999999999996,0.256,0,,,160,,
PIT,NL,1988,651,616,85,0.317,0.369,0.247,0,,,160,,
LAD,NL,1963,640,550,99,0.309,0.35700000000000004,0.251,1,2,1,163,,
ARI,NL,2005,696,856,77,0.332,0.42100000000000004,0.256,0,,,162,0.345,0.455
LAD,NL,1962,842,697,102,0.337,0.4,0.268,0,,,165,,
STL,NL,1970,744,747,76,0.331,0.379,0.263,0,,,162,,
CLE,AL,2001,897,821,91,0.35,0.45799999999999996,0.278,1,6,4,162,0.341,0.41700000000000004
ATL,NL,2003,907,740,101,0.349,0.475,0.284,1,1,4,162,0.327,0.401
CHW,AL,2001,798,795,83,0.33399999999999996,0.451,0.268,0,,,162,0.33399999999999996,0.42700000000000005
LAD,NL,2007,735,727,82,0.337,0.406,0.275,0,,,162,0.326,0.39899999999999997
COL,NL,2005,740,862,67,0.33299999999999996,0.41100000000000003,0.267,0,,,162,0.36200000000000004,0.457
PIT,NL,1983,659,648,84,0.325,0.38299999999999995,0.264,0,,,162,,
MLN,NL,1962,730,665,86,0.326,0.40299999999999997,0.252,0,,,162,,
BOS,AL,1998,876,729,92,0.348,0.46299999999999997,0.28,1,5,4,162,,
CHW,AL,2007,693,839,72,0.318,0.40399999999999997,0.24600000000000002,0,,,162,0.33799999999999997,0.435
SFG,NL,1970,831,826,86,0.35100000000000003,0.409,0.262,0,,,162,,
CLE,AL,2006,870,782,78,0.349,0.457,0.28,0,,,162,0.335,0.431
CIN,NL,1979,731,644,90,0.33799999999999997,0.396,0.264,1,3,3,161,,
NYY,AL,1983,770,703,91,0.337,0.41600000000000004,0.273,0,,,162,,
BOS,AL,2003,961,809,95,0.36,0.491,0.289,1,4,3,162,0.327,0.415
LAD,NL,1991,665,565,93,0.326,0.359,0.253,0,,,162,,
CHW,AL,1977,844,771,90,0.344,0.444,0.278,0,,,162,,
CHC,NL,1991,695,734,77,0.309,0.39,0.253,0,,,160,,
LAA,AL,2008,765,697,100,0.33,0.413,0.268,1,1,4,162,0.32299999999999995,0.406
NYM,NL,2011,718,742,77,0.335,0.391,0.264,0,,,162,0.332,0.41100000000000003
STL,NL,2002,787,648,97,0.33799999999999997,0.425,0.268,1,5,3,162,0.32299999999999995,0.386
NYM,NL,1989,683,595,87,0.311,0.385,0.24600000000000002,0,,,162,,
MON,NL,1978,633,611,76,0.306,0.379,0.254,0,,,162,,
ATL,NL,2012,700,600,94,0.32,0.389,0.247,1,4,5,162,0.306,0.37799999999999995
CHC,NL,1975,712,827,75,0.33799999999999997,0.368,0.259,0,,,162,,
CLE,AL,1998,850,779,89,0.34700000000000003,0.44799999999999995,0.272,1,7,3,162,,
CIN,NL,1991,689,691,74,0.32,0.40299999999999997,0.258,0,,,162,,
SEA,AL,2011,556,675,67,0.292,0.348,0.233,0,,,162,0.31,0.386
SEA,AL,1996,993,895,85,0.366,0.484,0.287,0,,,161,,
BOS,AL,1999,836,718,94,0.35,0.44799999999999995,0.278,1,6,3,162,0.315,0.39799999999999996
MIN,AL,1973,738,692,81,0.342,0.39299999999999996,0.27,0,,,162,,
CLE,AL,2000,950,816,90,0.36700000000000005,0.47,0.28800000000000003,0,,,162,0.35,0.425
BOS,AL,2012,734,806,69,0.315,0.415,0.26,0,,,162,0.331,0.428
STL,NL,2011,762,692,90,0.341,0.425,0.273,1,7,1,162,0.319,0.39799999999999996
SEA,AL,1990,640,680,77,0.33299999999999996,0.373,0.259,0,,,162,,
CLE,AL,1988,666,731,78,0.314,0.387,0.261,0,,,162,,
DET,AL,2009,743,745,86,0.331,0.41600000000000004,0.26,0,,,163,0.336,0.42200000000000004
OAK,AL,1969,740,678,88,0.32899999999999996,0.376,0.249,0,,,162,,
HOU,NL,1974,653,632,81,0.322,0.37799999999999995,0.263,0,,,162,,
PHI,NL,1997,668,840,68,0.322,0.385,0.255,0,,,162,,
CHC,NL,1970,806,679,84,0.33299999999999996,0.415,0.259,0,,,162,,
BOS,AL,1974,696,661,84,0.33299999999999996,0.377,0.264,0,,,162,,
NYM,NL,1977,587,663,64,0.313,0.34600000000000003,0.244,0,,,162,,
SFG,NL,1984,682,807,66,0.32799999999999996,0.375,0.265,0,,,162,,
NYM,NL,2000,807,738,94,0.34600000000000003,0.43,0.263,1,3,2,162,0.327,0.40299999999999997
SEA,AL,1997,925,833,90,0.355,0.485,0.28,1,5,4,162,,
NYM,NL,1996,746,779,71,0.324,0.41200000000000003,0.27,0,,,162,,
CIN,NL,1989,632,691,75,0.309,0.37,0.247,0,,,162,,
CHC,NL,1984,762,658,96,0.331,0.397,0.26,1,2,3,161,,
PHI,NL,1975,735,694,86,0.342,0.402,0.26899999999999996,0,,,162,,
SDP,NL,1988,594,583,83,0.31,0.35100000000000003,0.247,0,,,161,,
SFG,NL,1967,652,551,91,0.313,0.37200000000000005,0.245,0,,,162,,
MIN,AL,1968,562,546,79,0.299,0.35,0.237,0,,,162,,
SDP,NL,1970,681,788,63,0.312,0.391,0.24600000000000002,0,,,162,,
BAL,AL,1989,708,686,87,0.326,0.379,0.252,0,,,162,,
KCR,AL,2001,729,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45
NYY,AL,1991,674,777,71,0.316,0.387,0.256,0,,,162,,
PHI,NL,2004,840,781,86,0.345,0.44299999999999995,0.267,0,,,162,0.33,0.44799999999999995
MIL,AL,1987,862,817,91,0.34600000000000003,0.428,0.276,0,,,162,,
KCR,AL,1984,673,686,84,0.317,0.39899999999999997,0.268,1,4,3,162,,
SFG,NL,2010,697,583,92,0.321,0.408,0.257,1,5,1,162,0.313,0.37
CIN,NL,2000,825,765,85,0.34299999999999997,0.447,0.27399999999999997,0,,,163,0.341,0.43799999999999994
SDP,NL,1984,686,634,92,0.317,0.371,0.259,1,3,2,162,,
CHC,NL,1968,612,611,84,0.298,0.366,0.242,0,,,163,,
CIN,NL,1969,798,768,89,0.335,0.42200000000000004,0.27699999999999997,0,,,163,,
STL,NL,1966,571,577,83,0.298,0.368,0.251,0,,,162,,
SEA,AL,1980,610,793,59,0.308,0.35600000000000004,0.248,0,,,163,,
SFG,NL,1985,556,674,62,0.299,0.348,0.233,0,,,162,,
LAD,NL,1990,728,685,86,0.32799999999999996,0.382,0.262,0,,,162,,
CLE,AL,2008,805,761,81,0.33899999999999997,0.424,0.262,0,,,162,0.33,0.424
DET,AL,1968,671,492,103,0.307,0.385,0.235,1,1,1,164,,
WSN,NL,2010,655,742,69,0.318,0.39,0.25,0,,,162,0.33,0.41
ARI,NL,2009,720,782,70,0.324,0.418,0.253,0,,,162,0.33,0.419
TEX,AL,1990,676,696,83,0.331,0.376,0.259,0,,,162,,
ATL,NL,1967,631,640,77,0.307,0.37200000000000005,0.24,0,,,162,,
TEX,AL,1982,590,749,64,0.308,0.359,0.249,0,,,162,,
BOS,AL,1969,743,736,87,0.33299999999999996,0.415,0.251,0,,,162,,
CHW,AL,2012,748,676,85,0.318,0.42200000000000004,0.255,0,,,162,0.319,0.405
PIT,NL,2012,651,674,79,0.304,0.395,0.243,0,,,162,0.314,0.39
BAL,AL,1982,774,687,94,0.341,0.419,0.266,0,,,163,,
WSA,AL,1966,557,659,71,0.295,0.355,0.23399999999999999,0,,,159,,
SDP,NL,2010,665,581,90,0.317,0.371,0.24600000000000002,0,,,162,0.308,0.368
NYY,AL,2012,804,668,95,0.337,0.45299999999999996,0.265,1,3,3,162,0.311,0.419
TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431
DET,AL,1984,829,643,104,0.342,0.43200000000000005,0.271,1,1,1,162,,
TEX,AL,2007,816,844,75,0.32799999999999996,0.426,0.263,0,,,162,0.35600000000000004,0.423
COL,NL,2003,853,892,74,0.344,0.445,0.267,0,,,162,0.359,0.47
MIL,AL,1976,570,655,66,0.311,0.34,0.24600000000000002,0,,,161,,
LAD,NL,1978,727,573,95,0.33799999999999997,0.402,0.264,1,2,2,162,,
MIL,AL,1983,764,708,87,0.33299999999999996,0.418,0.27699999999999997,0,,,162,,
KCR,AL,1988,704,648,84,0.321,0.391,0.259,0,,,161,,
STL,NL,1965,707,674,80,0.314,0.371,0.254,0,,,162,,
NYY,AL,1976,730,575,97,0.32799999999999996,0.389,0.26899999999999996,1,3,2,159,,
MIN,AL,1967,671,590,91,0.309,0.369,0.24,0,,,164,,
PHI,NL,2001,746,719,86,0.32899999999999996,0.414,0.26,0,,,162,0.32899999999999996,0.424
NYY,AL,1996,871,787,92,0.36,0.436,0.28800000000000003,1,3,1,162,,
CHC,NL,1979,706,707,80,0.32899999999999996,0.40299999999999997,0.26899999999999996,0,,,162,,
NYM,NL,1969,632,541,100,0.311,0.35100000000000003,0.242,1,2,1,162,,
KCR,AL,1983,696,767,79,0.32,0.397,0.271,0,,,163,,
NYY,AL,1979,734,672,89,0.32799999999999996,0.406,0.266,0,,,160,,
HOU,NL,2002,749,695,84,0.33799999999999997,0.41700000000000004,0.262,0,,,162,0.33,0.41
NYY,AL,2008,789,727,89,0.342,0.42700000000000005,0.271,0,,,162,0.32899999999999996,0.405
TEX,AL,2012,808,707,93,0.33399999999999996,0.446,0.273,1,5,5,162,0.309,0.408
TOR,AL,1992,780,682,96,0.33299999999999996,0.414,0.263,1,2,1,162,,
HOU,NL,1984,693,630,80,0.32299999999999995,0.371,0.264,0,,,162,,
SDP,NL,2004,768,705,87,0.342,0.414,0.273,0,,,162,0.318,0.431
MON,NL,2002,735,718,83,0.33399999999999996,0.418,0.261,0,,,162,0.32899999999999996,0.42100000000000004
CIN,NL,1976,857,633,102,0.35700000000000004,0.424,0.28,1,1,1,162,,
BOS,AL,1992,599,669,73,0.321,0.34700000000000003,0.24600000000000002,0,,,162,,
BAL,AL,1997,812,681,98,0.341,0.429,0.268,1,2,3,162,,
CIN,NL,2011,735,720,79,0.326,0.408,0.256,0,,,162,0.325,0.415
CHC,NL,1999,747,920,67,0.32899999999999996,0.42,0.257,0,,,162,0.34600000000000003,0.467
SDP,NL,1969,468,746,52,0.285,0.32899999999999996,0.225,0,,,162,,
CIN,NL,2001,735,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455
PIT,NL,2002,641,730,72,0.319,0.381,0.244,0,,,161,0.342,0.423
CHW,AL,1976,586,745,64,0.314,0.349,0.255,0,,,161,,
BOS,AL,2006,820,825,86,0.35100000000000003,0.435,0.26899999999999996,0,,,162,0.34299999999999997,0.447
CAL,AL,1976,550,631,76,0.306,0.318,0.235,0,,,162,,
DET,AL,1983,789,679,92,0.335,0.42700000000000005,0.27399999999999997,0,,,162,,
ARI,NL,2008,720,706,82,0.327,0.415,0.251,0,,,162,0.318,0.39799999999999996
SFG,NL,1987,783,669,90,0.324,0.43,0.26,1,3,3,162,,
STL,NL,1989,632,608,86,0.321,0.363,0.258,0,,,164,,
MON,NL,1977,665,736,75,0.318,0.402,0.26,0,,,162,,
KCR,AL,1973,755,752,88,0.33899999999999997,0.381,0.261,0,,,162,,
NYY,AL,1987,788,758,89,0.336,0.418,0.262,0,,,162,,
MIN,AL,2010,781,671,94,0.341,0.42200000000000004,0.273,1,4,4,162,0.317,0.41700000000000004
PHI,NL,1967,612,581,82,0.313,0.35700000000000004,0.242,0,,,162,,
LAA,AL,2010,681,702,80,0.311,0.39,0.248,0,,,162,0.327,0.40299999999999997
